/home/nbes/LCA/Visuals.py:32: MatplotlibDeprecationWarning: Adding an axes using the same arguments as a previous axes currently reuses the earlier instance.  In a future version, a new instance will always be created and returned.  Meanwhile, this warning can be suppressed, and the future behavior ensured, by passing a unique label to each axes instance.
  fig.add_axes(ax)
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 180 (seed=739435, Wed Sep 18 09:58:44 2024)
G:0, BEST PARAMS, BEST REWARD: 0.007390599995563293, CURRENT REWARD: 0.007390599995563293
G:1, BEST PARAMS, BEST REWARD: 0.007390599995563293, CURRENT REWARD: 0.007390599995563293
G:2, BEST PARAMS, BEST REWARD: 0.007390599995563293, CURRENT REWARD: 0.007390599995563293
G:3, BEST PARAMS, BEST REWARD: 0.007390599995563293, CURRENT REWARD: 0.007390599995563293
G:4, BEST PARAMS, BEST REWARD: 0.007390599995563293, CURRENT REWARD: 0.007390599995563293
G:5, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:6, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:7, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:8, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:9, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:10, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:11, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:12, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:13, BEST PARAMS, BEST REWARD: 0.010285739874969488, CURRENT REWARD: 0.010285739874969488
G:14, BEST PARAMS, BEST REWARD: 0.012458758330293734, CURRENT REWARD: 0.012458758330293734
G:15, BEST PARAMS, BEST REWARD: 0.012458758330293734, CURRENT REWARD: 0.012458758330293734
G:16, BEST PARAMS, BEST REWARD: 0.012458758330293734, CURRENT REWARD: 0.012458758330293734
G:17, BEST PARAMS, BEST REWARD: 0.012458758330293734, CURRENT REWARD: 0.012458758330293734
G:18, BEST PARAMS, BEST REWARD: 0.012458758330293734, CURRENT REWARD: 0.012458758330293734
