[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 144 (seed=343585, Wed Sep 25 12:52:23 2024)
G:0, BEST PARAMS, BEST REWARD: -0.1860787295946573, CURRENT REWARD: -0.1860787295946573
G:1, BEST PARAMS, BEST REWARD: -0.16543565507918648, CURRENT REWARD: -0.16543565507918648
G:2, BEST PARAMS, BEST REWARD: -0.16543565507918648, CURRENT REWARD: -0.16543565507918648
G:3, BEST PARAMS, BEST REWARD: -0.14516278530112328, CURRENT REWARD: -0.14516278530112328
G:4, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:5, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:6, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:7, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:8, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:9, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:10, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:11, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:12, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:13, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:14, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:15, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:16, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:17, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:18, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:19, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:20, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:21, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:22, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:23, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:24, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:25, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:26, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:27, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:28, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:29, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:30, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:31, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:32, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
G:33, BEST PARAMS, BEST REWARD: -0.12454397849096425, CURRENT REWARD: -0.12454397849096425
